,Unnamed: 0,SL.NO.,S_ID,Department,GENDER (M/F),AGE,X Exam,X Board,X School,X Subjects,X Medium,X YOP,X Percentage,X Actual Percentage,X Marks Obtained,X Total Marks,XII Exam,XII Board,XII School,XII Subjects,XII Medium,XII YOP,XII Std Percent,XII Actual Percent,XII Marks Obtained,XII Total Marks,Diploma Stream,Dip Uni/Board/Council,Dip Institute,Dip Medium,Dip YOP,Dip Aggregate Marks %,Permanent Loc State,Entrance Exam,Clg Year of Entry,Clg Year of Passing,Sem1,Sem2,Sem3,Sem4,Sem5,Sem Avg,Backlog Count
138,138,139,1310908008.0,CE,M,22,SECONDARY EXAMINATION,WEST BENGAL BOARD OF SECONDARY EDUCATION,BHARATPUR ALIA HIGH SCHOOL,"BENGALI(PAPER-1&2),ENGLISH,MATHEMATICS,PHYSICAL SCIENCE,LIFE SCIENCE,HISTORY,GEOGRAPHY",BENGALI,2010.0,86.375,86.375,691,691,HIGHER SECONDARY,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,BERHAMPORE J.N ACADEMY,"BENGALI,ENGLISH,MATHEMATICS,PHYSICS,CHEMISTRY,BIOLOGY",BENGALI,2012.0,79.0,78.66,472,395.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.56,7.55,7.72,8.42,8.64,7.978,
139,139,140,1310908018.0,CE,M,21,SECONDARY EXAMINATION,WEST BENGAL BOARD OF SECONDARY EDUCATION,SHYAMNAGAR SRI RAMKRISHNA VIDYAMANDIR,"FIRST LANGUAGE-(1ST PAPER),FIRST LANGUAGE-(2ND PAPER),SECOND LANGUAGE,MATHEMATICS,PHYSICAL SCIENCE,LIFE SCIENCE,HISTORY,GEOGRAPHY,OPTIONAL ELECTIVE SUBJECT",BENGALI ,2010.0,74.55,73.875,671,900,HIGHER SECONDARY EXAMINATION,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,GARHBETA HIGH SCHOOL,"BENGALI,ENGLISH,PHYSICS,CHEMISTRY,MATHEMATICS,BIOLOGICAL SCIENCES,ENVIRONMENTAL EDUCATION",BENGALI,2012.0,69.0,341.0,483,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,6.56,7.14,6.66,6.23,6.6,6.638,
140,140,141,1310908042.0,CE,M,21,MADHYAMIK PARIKSHA (SECONDARY EDUCATION) ,WEST BENGAL BOARD OF SECONDARY EDUCATION,RAMKRISHNA VIVEKANANDA MISSION VIDYABHAVAN,1ST LANGUAGE(BENGALI) PAPER 1- 1ST LANGUAGE(BENGALI) PAPER 2-2ND LANGUAGE(ENGLISH)-MATHEMATICS-HISTORY-GEOGRAPHY-LIFE SCIENCE-PHYSICAL SCIENCE ,BENGALI,2011.0,79,79,632,800,HIGHER SECONDARY EXAMINATION,WEST BENGAL COUNCIL FOR HIGHER SECONDARY EDUCATION,NARAINDAS BANGUR MEMORIAL MULTIPURPOSE SCHOOL (GOVT. SPON),ENGLISH-BENGALI-PHYSICS-CHEMISTRY-MATHEMATICS-BIOLOGICAL SCIENCE-ENVIRONMENTAL SCIENCE,ENGLISH,2013.0,63.0,64.0,447,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,6.59,7.21,7.38,5.85,7.2,6.846000000000001,1.0
141,141,142,1410908122.0,CE,F,22,MADHYAMIC PARIKSHA,WBBSE,BERHAMPORE GIRLS MAHAKALI PATHSALA,"BENGALI(FIRST PAPER),BENGALI(SECOND PAPER),ENGLISH,MATHEMATICS,PHYSICAL SCIENCE,LIFE SCIENCE,HISTORY,GEOGRAPHY",BENGALI,2010.0,60,60,480,800,,,,,,,,,,,CE,WBSCTE,R.P.B.M. JIAGANJ COLLEGE OF ENGINEERING & TECHNOLOGY,ENGLISH,2014,77.2,WEST BENGAL,JELET,2014.0,2017.0,,,7.41,7.65,8.88,7.98,
142,142,143,1310908035.0,CE,M,20,MADHYAMIK PARIKSHA (SECONDARY EXAMINATION),WEST BENGAL BOARD OF SECONDARY EDUCATION,NAVA NALANDA HIGH SCHOOL,"FIRST LANGUAGE-(1ST PAPER), FIRST LANGUAGE-(2ND PAPER), SECOND LANGUAGE, MATHEMATICS, PHYSICAL SCIENCE, LIFE SCIENCE, HISTORY, GEOGRAPHY",ENGLISH,2011.0,80.125,80.125,641,800,HIGHER SECONDARY EXAMINATION,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,NAVA NALANDA HIGH SCHOOL,"BENGALI, ENGLISH, CHEMESTRY, MATHEMATICS, PHYSICS, BIOLOGY, ENVIRONMENTAL SCIENCE",ENGLISH,2013.0,75.0,76.0,532,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,8.3,8.48,9.07,7.69,8.84,8.475999999999999,
143,143,144,1310908053.0,CE,M,22,MADHYAMIK ,WEST BENGAL BOARD OF SECONDARY EDUCATION,SWAMI PRANABANANDA VIDYAPITH ,"BENGALI (I&II), ENGLISH, MATHEMATICS, PHYSICAL SCIENCE, LIFE SCIENCE, HISTORY, GEOGRAPHY ",ENGLISH ,2010.0,71.12,71.12,569,800,HIGHER SECONDARY ,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,SWAMI PRANABANANDA VIDYAPITH ,"BENGALI, ENGLISH, PHYSICS, CHEMISTRY, BIOLOGICAL SCIENCES",ENGLISH ,2012.0,,74.57,522,700.0,,,,,,,,WBJEE,2013.0,2017.0,7.04,6.55,7.28,5.08,5.44,6.2780000000000005,4.0
144,144,145,1310908011.0,CE,M,21,MADHYAMIK EXAMINATION,WEST BENGAL BOARD OF SECONDARY EDUCATION,KUAI HIGH SCHOOL,1.BENGALI 2.ENGLISH 3.MATHEMATICS 4.PHYSICAL SCIENCE 5.LIFE SCIENCE 6.HISTORY 7.GEOGRAPHY 8.PHYSICAL & WORK EDUCATIAN,BENGALI,2010.0,80.12,80.55,725,900,HIGHER SECONDARY EXAMINATION,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,KERANITOLA SHREE SHREE MOHANANANDA VIDYAMANDIR,1.BENGALI 2.ENGLISH 3.CHEMISTRY 4.PHYSICS 5.MATHEMATICS 6.BIOLOGY 7.ENVIRONMENTAL SCIENCE,BENGALI,2012.0,68.6,67.57,473,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,6.59,7.55,7.62,7.77,8.44,7.593999999999999,
145,145,146,1310908040.0,CE,M,22,A.I.S.S.E,CBSE,MITHILA PUBLIC SCHOOL,ENGLISH LNG & LIT-HINDI COURSE B-MATHEMATICS-SCIENCE-SOCIALS CIENCE,ENGLISH,2010.0,81.7,81.7,430,500,A.I.S.S.C.E,CBSE,ISHAN INTERNATIONAL PUBLIC SCHOOL,ENGLISH CORE-MATHEMATICS-PHYSICS-CHEMISTRY-PHYSICAL EDUCATION-PAINTING,ENGLISH,2012.0,75.0,76.0,456,600.0,,,,,,,BIHAR,WBJEE,2013.0,2017.0,7.11,7.24,7.48,7.19,7.36,7.276000000000001,
146,146,147,1310901055.0,CSE,M,20,SSE,CBSE,BADRI NARAYAN SAHA DAYANAND ANGLO VEDIC PUBLIC SCHOOL,"ENGLISH, SANSKRIT, MATHEMATICS,SCIENCE(PHYSICS,CHEMISTRY,BIOLOGY) , SOCIAL SCIENCE, FOUNDATION OF INFORMATION TECHNOLOGY",ENGLISH,2011.0,91.2,91.2,,,AISSCE,CBSE,SUBHASH PUBLIC SCHOOL,"ENGLISH CORE, MUSIC HINDUSTANI VOCAL, MATHEMATICS,PHYSICS ,CHEMISTRY",ENGLISH,2013.0,85.0,85.0,425,500.0,,,,,,,JHARKHAND,WBJEE,2013.0,2017.0,7.15,6.97,7.28,8.35,8.0,7.55,
147,147,148,1310901087.0,CSE,M,20,ICSE,CISCE,LOYOLA HIGH SCHOOL,"ENGLISH,BENGALI,ENVIRONMENTAL EDUCATION,HISTORY,CIVICS & GEOGRAPHY,MATHEMATICS,SCIENCE(PHYSICS,CHEMISTRY,BIOLOGY),COMPUTER APPLICATION",ENGLISH,2011.0,91.6,90.29,632,700,ISC,CISCE,K.E. CARMEL SCHOOL,"ENGLISH,BENGALI,MATHEMATICS,PHYSICS,CHEMISTRY,COMPUTER SCIENCE",ENGLISH,2013.0,89.0,84.67,508,600.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,8.11,8.69,8.38,9.08,9.35,8.722,
148,148,149,1310901113.0,CSE,M,20,AISSE,CBSE,HEMSHEELA MODEL SCHOOL,ENGLISH; BENGALI; MATHEMATICS; SOCIAL SCIENCE ; SCIENCE,ENGLISH,2011.0,89.4,89.4,,,AISSCE,CBSE,HEMSHEELA MODEL SCHOOL,ENGLISH; MATHEMATICS; PHYSICS; CHEMISTRY; COMPUTER SCIENCE ;PHYSICAL EDUCATION,ENGLISH,2013.0,89.6,89.0,534,600.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.93,8.17,8,8.31,8.54,8.190000000000001,
149,149,150,1310901125.0,CSE,M,21+,ICSE,CISCE,ST. STEPHEN'S SCHOOL,"1ST LANGUAGE(ENGLISH), 2ND LANGUAGE(BENGALI), HISTORY CIVICS & GEOGRAPHY, MATHEMATICS, SCIENCE(PHYSICS, CHEMISTRY, BILOGY), ENVIROMENTAL EDUCATION, COMPUTER APPLICATIONS",ENGLISH,2011.0,84.8,83.43,584,700,ISC,CISCE,ST. STEPHEN'S SCHOOL,"1ST LANGUAGE(ENGLISH), 2ND LANGUAGE(BENGALI), MATHEMATICS, PHYSICS, CHEMISTRY, COMPUTER SCIENCE",ENGLISH,2013.0,85.0,81.0,486,600.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,8.22,8.0,8.41,8.65,8.62,8.379999999999999,
150,150,151,1310901112.0,CSE,M,20,ISCE,CISCE,MANSUR HABIBULLAH MEMORIAL SCHOOL,"ENGLISH; HINDI; ENVIRONMENTAL EDUCATION; HISTORY, CIVICS & GEOGRAPHY; MATHEMATICS; SCIENCE; COMPUTER APPLICATION",ENGLISH,2011.0,91.4,88.57,620,700,ISC,CISCE,MANSUR HABIBULLAH MEMORIAL SCHOOL,ENGLISH; HINDI; MATHEMATICS; PHYSICS; CHEMISTRY; COMPUTER SCIENCE,ENGLISH,2013.0,89.25,86.83,521,600.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,8.04,8.03,8.17,8.15,8.96,8.27,
151,151,152,1310901110.0,CSE,M,21,SSC,C.B.S.E,SARASWATI VIDYA MANDIR,"HINDI,ENGLISH,SCIENCE,SOCIAL SCIENCE,MATHEMATICS,FOUNDATION OF IT",HINDI,2011.0,85.5,85.5,,,HSC,C.B.S.E,KRISHNANAND MEMORIAL ACADEMY,"ENGLISH,MATHEMATICS,PHYSICS,CHEMISTRY,PHYSICAL EDUCATION",ENGLISH,2013.0,81.5,77.6,388,500.0,,,,,,,BIHAR,WBJEE,2013.0,2017.0,7.67,8.07,7.38,8.38,8.31,7.962000000000001,
152,152,153,1310901063.0,CSE,M,20,SECONDARY SCHOOL LEAVING CERTIFICATE EXAMINATION,MBOSE,PILLANGKATTA SECONDARY SCHOOL,"ENGLISH,HINDI(IL),ENVIRONMENTAL EDUCATION,SOCIAL STUDIES(HISTORY,CIVICS ,ECONOMICS, GEOGRAPHY),MATHEMATICS,SCIENCE(PHYSICS,CHEMISTRY,BIOLOGY),HEALTH EDUCATION",ENGLISH,2010.0,80,80,480,600,HIGHER SECONDARY FINAL EXAMINATION,AHSEC,B BOROOAH COLLEGE,"ENGLISH,ALTERNATIVE ENGLISH,MATHEMATICS,PHYSICS,CHEMISTRY,STATISTICS",ENGLISH,2012.0,78.6,71.5,429,600.0,,,,,,,BIHAR,WBJEE,2013.0,2017.0,7.0,7.5,6.79,7.0,6.81,7.0200000000000005,
153,153,154,1310901031.0,CSE,F,22,AISSE,CBSE,SREE AYYAPPA PUBLIC SCHOOL,"ENGLISH COMMUNICATION,COMMUNICATION SANSKRIT,MATHEMATICS,SCIENCE,SOCIAL SCIENCE",ENGLISH,2010.0,91.2,91.2,,,AISSCE,CBSE,SREE AYYAPPA PUBLIC SCHOOL,"ENGLISH CORE,ECONOMICS,MATHEMATICS,PHYSICS,CHEMISTRY,PHYSICAL EDUCATION",ENGLISH,2012.0,83.4,82.33,494,600.0,,,,,,,JHARKHAND,WBJEE,2013.0,2017.0,8.93,8.83,8.79,8.96,8.81,8.864,
154,154,155,1310901078.0,CSE,M,20,SSE,BSEB,JNJV HIGH SCHOOL ,"HINDI,SANSKRIT,SCIENCE,MATHEMATICS,ENGLISH,SOCIAL SCIENCE.",HINDI,2010.0,65,65,325,500,INTERMEDIATE EXAMINATION,BSEB,M.L.S.M COLLEGE DARBHANGA,"HINDI+ALTERNATiVE ENGLISH,ENGLISH,PHYSICS,CHEMISTRY,MATHEMATICS",ENGLISH,2012.0,57.4,57.4,287,500.0,,,,,,,BIHAR,WBJEE,2013.0,2017.0,6.3,6.9,6.41,7.04,7.23,6.775999999999999,
155,155,156,1310901115.0,CSE,M,21,SSE,CBSE,"TATA DAV SCHOOL, TISCO SIJUA, BHELATAND, DHANBAD","ENGLISH COMMUNICATION,COMMUNICATION SANSKRIT,MATHEMATICS,SCIENCE,SOCIAL SCIENCE,INTRODUCTORY I T",ENGLISH,2010.0,87.4,87.4,,,SSCE,CBSE,"DOON PUBLIC SCHOOL, KOYLA NAGAR, DHANBAD,JH","ENGLISH CORE,MATHEMATICS,PHYSICS,CHEMISTRY,PHYSICAL EDUCATION",ENGLISH,2012.0,76.25,71.2,356,500.0,,,,,,,JHARKHAND,WBJEE,2013.0,2017.0,7.22,7.41,7.17,7.19,7.65,7.328,
156,156,157,1310901154.0,CSE,M,21,AISSE,CBSE,"DELHI PUBLIC SCHOOL,BOPAL,AHMEDABAD","ENGLISH COMMUNICATION,COMMUNICATIVE SANSKRIT,MATHEMATICS,SCIENCE,SOCIAL SCIENCE",ENGLISH,2010.0,93.1,93.1,,,AISSCE,CBSE,"DELHI PUBLIC SCHOOL,NAVI MUMBAI","FUNCTIONAL ENGLISH,MATHEMATICS,PHYSICS,CHEMISTRY,COMPUTER SCIENCE,",ENGLISH,2012.0,69.5,63.4,317,500.0,,,,,,,WEST BENGAL,,2013.0,2017.0,5.67,5.06,5.97,4.58,4.58,5.172,9.0
157,157,158,1310901013.0,CSE,M,21,AISSE,CBSE,KENDRIYA  VIDYALAYA ARMY H Q BARRACKPORE WB,"ENGLISH COMMUNICATIVE,HINDI COURSE-A,MATHEMATICS,SCIENCE,SOCIAL SCIENCE",ENGLISH,2011.0,91.2,91.2,,,AISSCE,CBSE,KENDRIYA  VIDYALAYA ARMY H Q BARRACKPORE WB,"ENGLISH CORE,MATHEMATICS,PHYSICS,CHEMISTRY,COMPUTER SCIENCE",ENGLISH,2013.0,92.0,92.0,460,500.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,8.04,8.69,8.34,8.5,8.5,8.413999999999998,
158,158,159,1310901070.0,CSE,F,21,MADHYAMIK PARIKSHA,WBBSE, LADY CARMICHAEL GIRLS' HIGH SCHOOL,"BENGALI(1ST PAPER),BENGALI(2ND PAPER),ENGLISH,MATHEMATICS,PHYSICAL SCIENCE,LIFE SCIENCE,HISTORY,GEOGRAPHY,ENVIRONMENTAL SCIENCE",BENGALI,2010.0,84.25,78.57,674,700,HIGHER SECONDARY EXAMINATION,WBCHSE,KRISHNAGAR GOVT. GIRLS' HIGH SCHOOL,"BENGALI,ENGLISH,MATHEMATICS,PHYSICS,CHEMISTRY,BIOLOGY",BENGALI,2012.0,80.6,77.16,463,600.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,8.07,8.41,7.66,8.58,8.46,8.236,
159,159,160,1310901040.0,CSE,M,21,MADHYAMIK PARIKSHA (SECONDARY EXAMINATION),WBBSE,BEHALA ARYYA VIDYAMANDIR,"BENGALI,ENGLISH,MATHEMATICS,PHYSICAL SCIENCE,LIFE SCIENCE,HISTORY,GEOGRAPHY",BENGALI,2011.0,87.375,87.375,699,800,HIGHER SECONDARY,WBCHSE,JODHPUR PARK BOYS HIGH SCHOOL,"BENGALI,ENGLISH,MATHEMATICS,PHYSICS,CHEMISTRY,BIOLOGY,ENVIRONMENTAL EDUCATION",BENGALI,2013.0,80.2,79.42,556,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.74,8.52,7.69,8.62,8.62,8.238,
160,160,161,1310901119.0,CSE,M,22,MADHYAMIK PARIKSHA(SECONDARY EXAMINATION),WBBSE,DURGAPUR MAMC TOWNSHIP MODERN HIGH SCHOOL,"ENGLISH,BENGALI,HISTORY, GEOGRAPHY,MATHEMATICS,PHYSICAL SCIENCE,LIFE SCIENCE",ENGLISH,2010.0,66.5,66.5,532,800,HIGHER SECONDARY,WBCHSE,BIDHAN CHANDRA INSTITUTION,"ENGLISH,BENGALI,MATHEMATICS,PHYSICS,CHEMISTRY,COMPUTER SCIENCE,ENVIRONMENTAL EDUCATION",ENGLISH,2012.0,57.0,58.57,410,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,6.89,7.52,7.41,7.23,8.04,7.418000000000001,
161,161,162,1310901011.0,CSE,M,20,SSE ,CBSE,"JAWAHAR VIDYA MANDIR, SHYAMALI, RANCHI","ENGLISH COMMUNICATION, COMMUNICATIVE SANSKRIT, MATHEMATICS,SCIENCE,SOCIAL SCIENCE",ENGLISH,2011.0,95,95,,,AISSCE,CBSE,"JAWAHAR VIDYA MANDIR, SHYAMALI, RANCHI","ENGLISH CORE, ECONOMICS,MATHEMATICS, PHYSICS, CHEMISTRY",ENGLISH,2013.0,86.4,86.4,432,500.0,,,,,,,JHARKHAND,WBJEE,2013.0,2017.0,8.63,8.69,7.86,8.0,8.46,8.328,
162,162,163,1310901003.0,CSE,F,21,MADHYAMIK PARIKSHA( SECONDARY EXAMINATION),WBBSE,SILVER POINT SCHOOL,"FIRST LANGUAGE: BENGALI (1ST PAPER, 2ND PAPER), SECOND LANGUAGE: ENGLISH, MATHEMATICS, PHYSICAL SCIENCE, LIFE SCIENCE, HISTORY, GEOGRAPHY, OPTIONAL ELECTIVE: COMPUTER APPLICATION",ENGLISH,2011.0,76.375,74.89,674,900,HIGHER SECONDARY EXAMINATION,WBCHSE,CARMEL HIGH SCHOOL,"LANGUAGES: BENGALI(A), ENGLISH(B); COMPULSORY ELECTIVE: CHEMISTRY, MATHEMATICS, PHYSICS; OPTIONAL ELECTIVE: BIOLOGICAL SCIENCES; COMPULSORY: ENVIRONMENTAL EDUCATION",ENGLISH,2013.0,71.4,71.857,503,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.19,7.86,7.59,8.69,9.04,8.074,
163,163,164,1310901086.0,CSE,M,21,ICSE,CISCE,RAM MOHAN MISSION HIGH SCHOOL,"ENGLISH,BENGALI,ENVIRONMENTAL EDUCATION,HISTORY,CIVICS & GEOGRAPHY,MATHEMATICS,SCIENCE(PHYSICS,CHEMISTRY,BIOLOGY),COMPUTER APPLICATIONS",ENGLISH,2011.0,88,82.86,580,700,ISC,CISCE,MANSUR HABIBULLAH MEMORIAL SCHOOL,"ENGLISH,BENGALI,MATHEMATICS,PHYSICS,CHEMISTRY,COMPUTER SCIENCE",ENGLISH,2013.0,83.0,80.0,480,600.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.59,7.59,7.59,8.04,8.08,7.778,
164,164,165,1310901061.0,CSE,M,20,AISSE,CBSE,JESUS & MARY ACADEMY ,"ENGLISH COMM.,COMM.SANSKRIT,MATHEMATICS,SCIENCE,SOCIAL SCIENCE",ENGLISH,2010.0,89.3,89.3,447,500,AISSCE,CBSE,ROSE PUBLIC SCHOOL,"ENGLISH CORE,MUSIC HIND.VOCAL,MATHEMATICS,PHYSICS,CHEMISTRY",ENGLISH,2012.0,73.0,73.0,365,500.0,,,,,,,BIHAR,WBJEE,2013.0,2017.0,6.48,7.69,7.24,7.65,7.35,7.282000000000001,
165,165,166,1310901054.0,CSE,M,21,AISSE,CBSE,"DR DUKHAN RAM DAV PUBLIC SCHOOL , DANAPUR PATNA","ENGLISH COMM., COMM. SANSKRIT, MATHEMATICS, SCIENCE, SOCIAL SCIENCE, INTRODUCTORY IT",ENGLISH,2010.0,83.6,85.5,,,SSSE,NIOS,,"ENGLISH, MATHS, PHYSICS, CHEMISTRY, PAINTING",ENGLISH,2012.0,65.2,65.2,326,500.0,,,,,,,BIHAR,WBJEE,2013.0,2017.0,6.56,7.21,6.72,7.5,7.62,7.122,
166,166,167,1310901105.0,CSE,M,22,MADHYAMIK PARIKSHA(SECONDARY EXAMINATION),WBBSE,MAHES SRI RAMKRISHNA ASHRAM VIDYALAYA,"BENGALI(1ST PAPER),BENGALI(2ND PAPER),ENGLISH,MATHEMATICS,PHYSICAL SCIENCE,LIFE SCIENCE, HISTORY, GEOGRAPHY,WORK EDUCATION(OPTIONAL ELECTIVE)",BENGALI,2010.0,81.33,81.5,732,900,HIGHER SECONDARY EXAMINATION ,WBCHSE,CHATRA NANDALAL INSTITUTION,"BENGALI,ENGLISH,CHEMISTRY,MATHEMATICS,PHYSICS,BIOLOGICAL SCIENCES,ENVIRONMENTAL SCIENCES",BENGALI,2012.0,81.74,81.0,405,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.04,7.41,7.03,6.62,8.62,7.343999999999999,1.0
167,167,168,1310901106.0,CSE,F,21,MADHYAMIK PARIKSHA (SECONDARY EXAMINATION),WBBSE,SOUTH POINT HIGH SCHOOL,"ENGLISH, BENGALI(PAPER I AND PAPER II), MATHEMATICS, PHYSICAL SCIENCE, LIFE SCIENCE, HISTORY, GEOGRAPHY",ENGLISH,2011.0,85.5,85.5,684,800,HIGHER SECONDARY EXAMINATION,WBCHSE,SOUTH POINT HIGH SCHOOL,"ENGLISH, BENGALI, CHEMISTRY, MATHEMATICS, PHYSICS, COMPUTER SCIENCE, ENVIRONMENTAL EDUCATION",ENGLISH,2013.0,75.0,75.43,528,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.67,8.24,8.14,8.31,8.58,8.187999999999999,
168,168,169,1310901073.0,CSE,M,20,SECONDARY SCHOOL EXAMINATION,CBSE,ST PAUL SEC SCH ,"HINDI,SCIENCE,MATHEMATICS,ENGLISH,SOCIAL SCIENCE.",ENGLISH,2011.0,64.6,64.6,323,500,INTERMEDIATE EXAMINATION,BSEB,"R.B.S INTER COLLEGE, DHANUKHI, VAISHALI","HINDI+ALTERNATiVE ENGLISH,ENGLISH,PHYSICS,CHEMISTRY,MATHEMATICS",ENGLISH,2013.0,73.4,73.4,367,500.0,,,,,,,BIHAR,WBJEE,2013.0,2017.0,6.63,5.85,6.24,5.14,4.96,5.764,4.0
169,169,170,1310901082.0,CSE,M,22,ICSE,CISCE,SRI RAM NARAYAN SINGH MEMORIAL HIGH SCHOOL,"ENGLISH,HINDI,ENVIRONMENTAL EDUCATION,HISTORY,CIVICS & GEOGRAPHY,MATHEMATICS,SCIENCE(PHYSICS,CHEMISTRY,BIOLOGY),COMPUTER APPLICATI ON",ENGLISH,2011.0,84.4,80.29,562,700,ISC,CISCE,THE BHAWANIPUR GUJRATI EDUCATION SOCIETY SCHOOL,"ENGLISH,ENVIRONMENTAL SCIENCE,MATHEMATICS,PHYSICS,CHEMISTRY,COMPUTER SCIENCE",ENGLISH,2013.0,89.0,87.83,527,600.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,8.41,8.93,8.72,9.42,8.92,8.88,
170,170,171,1310901015.0,CSE,M,21,ICSE,CISCE,GITARAM ACADEMY,"ENGLISH,BENGALI,ENVIRONMENTAL EDUCATION,HISTORY,CIVICS & GEOGRAPHY,MATHEMATICS,SCIENCE(PHYSICS,CHEMISTRY,BIOLOGY),COMPUTER APPLICATIONS",ENGLISH,2011.0,93.17,92.43,647,700,HIGHER SECONDARY EXAMINATION,WBCHSE,GITARAM HIGHER SECONDARY SCHOOL,"BENGALI,ENGLISH,CHEMISTRY,MATHEMATICS,PHYSICS,COMPUTER SCIENCE",ENGLISH,2013.0,86.2,85.17,511,600.0,,,,,,,WEST BENGAL,JEE-MAINS,2013.0,2017.0,7.78,8.1,7.59,7.77,7.73,7.794,
171,171,172,1310901032.0,CSE,M,22,AISSE,CBSE,KENDRIYA VIDYALAYA DANAPUR CANTT PATNA,"ENGLISH COMM.,HINDI COURSE-A,MATHEMATICS,SCIENCE,SOCIAL SCIENCE",ENGLISH,2010.0,81.7,81.7,,,AISSCE,CBSE,KENDRIYA VIDYALAYA DANAPUR CANTT PATNA,"ENGLISH CORE,MATHEMATICS,PHYSICS,CHEMISTRY,COMPUTER SCIENCE,",ENGLISH,2012.0,81.2,81.2,406,500.0,,,,,,,BIHAR,WBJEE,2013.0,2017.0,7.22,7.93,7.31,7.62,7.81,7.578,
172,172,173,1310901045.0,CSE,M,20,MADHYAMIK PARIKSHA,WBBSE,NAVA NALANDA HIGH SCHOOL,"BENGALI 1,BENGALI 2,ENGLISH,MATHEMATICS,PHYSICAL SCIENCE,LIFE,SCIENCE,HISTORY,GEOGRAPHY",ENGLISH,2011.0,73.12,73.12,585,800,HIGHER SECONDARY,WBCHSE,NAVA NALANDA HIGH SCHOOL,"BENGALI,ENGLISH,CHEMISTRY,MATHEMATiCS,COMPUTER SCIENCE,PHYSICS,ENVIRONMENTAL SCIENCE",ENGLISH,2013.0,68.4,61.6,429,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,6.33,7.0,6.66,6.35,6.42,6.552000000000001,1.0
173,173,174,1310901128.0,CSE,M,20,MADHYAMIK PARIKSHA(SECONDARY EXAMINATION),WBBSE,BETHUADAHARI JCM HIGH SCHOOL,"BENGALI,ENGLISH,MATHEMATICS,PHYSICAL SCIENCE,LIFE SCIENCE,HISTORY,GEOGRAPHY,PHYSICAL EDUCATION",BENGALI,2011.0,76.75,76.44,614,800,HIGHER SECONDARY EXAMINATION,WBCHSE,BETHUADAHARI JCM HIGH SCHOOL,"BENGALI,ENGLISH ,PHYSICS,CHEMISTRY,MATHEMATICS,BIOLOGY,ENVIRONMENT SCIENCE",BENGALI,2013.0,74.0,73.0,370,500.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.26,7.86,7.38,7.08,7.96,7.508,
174,174,175,1310901049.0,CSE,F,21,MADHYAMIK PARIKSHA ,WBBSE,SHRI SHIKSHAYATAN SCHOOL,ENGLISH-BENGALI-MATHS-PHYSICAL SCIENCE-LIFE SCIENCE-HISTORY-GEOGRAPHY ,ENGLISH ,2011.0,83.63,83.63,669,800,HIGHER SECONDARY EXAMINATION ,WBCHSE,PATHA BHAVAN,ENGLISH-BENGALI-MATHS-PHYSICS-CHEMISTRY-COMPUTER SCIENCE-ENVIRONMENTAL SCIENCE ,ENGLISH ,2013.0,65.4,61.83,371,600.0,,,,,,,,WBJEE,2013.0,2017.0,7.0,7.38,7.97,7.62,8.58,7.709999999999999,
175,175,176,1310901057.0,CSE,M,22,SECONDARY EXAM,WBBSE,DEBCHA NABAKOLA HIGH SCHOOL,"BENGALI 1ST PAPER, BENGALI 2ND PAPER, ENGLISH , MATHEMATICS, LIFE SCIENCE, PHYSICAL SCIENCE,HISTORY, GEOGRAPHY,WORK EDUCATION(OPTIONAL ELECTIVE SUBJECT)",BENGALI,2010.0,88.37,87.55,788,900,HIGHER SECONDARY EXAM,WBCHSE,CHANDRAKONA ROAD SARADAMOYEE HIGH SCHOOL,"BENGALI, ENGLISH, PHYSICS, CHEMISTRY,BIOLOGY, MATHEMATICS,ENVIRONMENTAL SCIENCE",BENGALI,2012.0,87.0,80.0,560,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,6.37,6.06,7.66,7.69,7.73,7.102000000000001,
